"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103116481","Great","Great","It is really great working here","Hard to decide what to eat at the cafeteria","5.0","2026-03-10T11:47:45.697","Current employee - Technical Account Manager (TAM)","San Jose, CA","REGULAR","next_f"
"103050129","Great company","Great company","Good WLB Great teams and Great culture","Getting things out can be tricky with multi cross orgs","5.0","2026-03-04T22:36:37.230","Current employee - Principal Product Manager","San Jose, CA","REGULAR","next_f"
"103048707","Great company","Great company","Great products Good people Good culture","Lots of products leads to lots of people","5.0","2026-03-04T19:33:20.607","Current employee - Sales Representative","New York, NY","REGULAR","next_f"
"103035128","Great company but don't rely on them for H1B","Great company but don't rely on them for H1B","Low pressure, great benefits, and good working culture.","Slow moving and bad HR department that was condescending and unhelpful.","4.0","2026-03-03T22:38:52.277","Former employee - Product Marketing Manager","San Jose, CA","REGULAR","next_f"
"103025727","Hard to grow","Hard to grow","Some people are nice and willing to mentor","Too many staff levels that take projects","2.0","2026-03-03T08:42:52.217","Current employee - UX Designer","San Francisco, CA","REGULAR","next_f"
"103025686","Sales Operations","Sales Operations","I loved my time working at Adobe. Great company and better people. Sabbaticals are incredible with 4-6 weeks off every 5 years based on when you started.","There are some seasons that you work long hours, with little to no recognition. Balance of work sometimes differs between team members based on who they are aligned to.","5.0","2026-03-03T08:40:46.747","Former employee - Team Lead, Sales Operations","Lehi, UT","REGULAR","next_f"
"102959855","Great Place to work at","Great Place to work at","People and benefits are amazing.","Marketing Departments are very siloed from each other.","5.0","2026-02-25T14:16:08.340","Former employee - Digital Marketing Specialist","Austin, TX","REGULAR","next_f"
"102937287","run away","run away","Excellent benefits Work - life balance depends on project","Poor management and leadership No clear vision for the company's future","3.0","2026-02-24T06:27:01.963","Current employee - Software Development Engineer (SDE)","San Jose, CA","REGULAR","next_f"
"102931579","great company","great company","everything is great, caring to its employees","nothing bad. just apply for its job openings","4.0","2026-02-23T20:10:30.170","Former employee - Senior Software Engineer","San Jose, CA","REGULAR","next_f"
"102907665","Strong engineering culture","Strong engineering culture","High-impact ML projects, especially in GenAI and document intelligence Smart, collaborative teammates with strong engineering standards Competitive compensation and solid benefits Clear focus on product quality and user experience Opportunity to own projects and work cross-functionally","Workâlife balance can be challenging, especially during releases Tight deadlines and shifting priorities create pressure Cross-team dependencies increase workload Expectations can extend beyond normal working hours Pace can feel intense for long periods","3.0","2026-02-21T12:18:16.643","Current employee - ML Engineer","San Jose, CA","REGULAR","next_f"
